"GSM279601_MIX_A.CEL" "GSM279602_MIX_A.CEL" "GSM279603_MIX_A.CEL" "GSM279604_MIX_B.CEL" "GSM279605_MIX_B.CEL" "GSM279606_MIX_B.CEL" "GSM279607_MIX_C.CEL" "GSM279608_MIX_C.CEL" "GSM279609_MIX_C.CEL" "GSM279610_MIX_D.CEL" "GSM279611_MIX_D.CEL" "GSM279612_MIX_D.CEL"
"SLFN5" 3.91480156534758 3.8325675692489 3.82353687510727 4.21541992230823 4.13667478705049 4.20620182144941 4.26126869958176 4.31559274867725 4.15178736214757 4.14333920608372 3.95567152098939 4.16608255645374
"CCDC69" 8.12360936101229 8.07462279495349 7.96626347776015 9.20064047630135 8.92487120098341 9.12879239752183 8.18509151742564 8.16390890752567 8.13291787076236 8.3559449878633 8.77159849757856 8.37520718623198
"NKD1" 6.73941136853073 6.56368568884421 6.76119917898178 6.95963987445232 6.85445216627402 6.80417482927323 6.71552391325924 6.77997619736121 6.78650368378456 6.5096550617918 6.72113575416649 6.56589112957014
"SVEP1" 3.20927833176875 3.21171751097862 3.24483229165377 3.28036042216434 3.16982531399743 3.09859463600339 3.28218769457219 3.17015172765202 3.35933909807415 3.87344656972276 3.22770216422623 3.25399871351568
"LACC1" 5.07801011598978 5.10492234226187 5.30996780307244 5.40810791775278 5.7885417192487 5.26247818142456 4.99509333186901 5.08343319745638 5.38865995921714 5.58622507563341 5.06532109906974 5.06566684414598
"AMMECR1" 6.5209763832017 6.58625329527808 6.40067978837096 6.48786560989618 6.25580210744872 6.45012255130036 6.55699849963447 6.71870280060876 6.79243288984804 6.56858090938304 6.74085916042317 6.83507264045783
"FAM117B" 6.22005571931123 6.20176143170684 6.16746907245315 6.23403157075925 6.12585835851804 6.18918055550656 5.82877501979513 5.9589625703029 6.22429251847444 5.91121556699234 6.09957870934539 5.96911289007372
"LUZP1" 4.34384618318823 4.42118989488976 4.56555865029331 4.25792047194358 4.51747493961539 3.88210875094697 4.55546884795328 4.26538148453804 4.42285678343085 4.09471440365663 4.17425817463588 4.64325634845887
"GAL3ST3" 4.89780763458493 4.91170904770299 4.9697408260529 5.10619597519495 5.00645425642926 4.90359617697013 5.14850350017058 4.95518728600256 4.97814069554719 4.93369295917691 5.17574617764668 5.13913373852983
"RHBDL3" 6.09512681620774 6.14945653166424 6.08569513268912 6.11663037726816 6.10555366847257 6.11293311079184 6.11464909421193 6.19888900795983 6.39823575771672 6.21369926165712 6.07922090386092 6.11120742842658
"ABCA13" 3.17349503340577 3.29847963756757 3.23289764636373 3.14719542559402 3.28483783783979 3.27565465701618 3.24708441757566 3.26749675739885 3.26151995920303 4.08403092242874 3.1421789714306 3.48408972467344
"CSF3R" 8.85386279568433 8.61354281003276 8.74514715284238 8.19403194556886 8.2315484008234 8.16663107847249 8.51095329799579 8.75062180831045 8.82964627044856 8.71959599508952 8.82603770146977 8.70997508385143
"CASP8" 4.70300424286958 4.3895681998259 4.66660404657717 4.54267830984169 4.65291213057454 4.88376936034271 4.71778806721337 4.57716789081571 4.78651149297391 4.61361268912593 4.71779956457259 4.73829517454059
"PLB1" 4.58688714171675 4.79084378204402 4.80792969315698 4.89023847163511 4.89152208992787 4.87957662195612 4.88885325336343 5.03201688073276 4.8811389348117 4.80256213895549 4.75569877486609 4.75103165681985
"GPR82" 3.89133138847949 3.87289782483941 4.14657414972268 4.11467704605124 4.33421724677759 4.18175544399163 4.47683817639188 4.15921485534716 4.54014177664813 4.16494985562354 4.23899816213462 4.45368684750612
"PCDH15" 3.39341885423113 3.35714705063644 3.4214562320658 3.52692903284593 3.54721544318348 3.54721544318348 3.34434321145615 3.47289157430914 3.5578042460234 3.56959423977131 3.2752144076968 3.64396446944219
"HFE" 4.91735098322372 4.80169393815453 4.80294310265437 4.83286265352746 5.00238577141659 4.7621244480004 4.90122166620201 4.7909360580664 5.00358708102816 5.32314196205538 4.41130179474315 4.61499343154726
"CSMD1" 4.41970994723265 4.56064243461334 4.63178254734119 4.74764979779319 4.41256437892775 4.57143057722744 4.65676941760959 4.50744412622281 4.41197616846214 4.59916554272711 4.52239372710034 4.74072287644855
"SALL3" 4.60411234065691 4.58091971068624 4.58763354484238 4.58192599221324 4.64572367307242 4.34079728859635 4.38816040592681 4.51143838460838 4.47620197534664 5.03135900079597 4.40315622072983 4.54627210612232
"TMEM145" 4.96397663989139 5.00135356383789 5.16705886815667 4.75792235495467 5.32042139265137 4.96370423845053 4.92854911051598 4.96098591395793 5.21762060736883 4.92760533443593 5.25788305248807 5.02812291107073
"GJD3" 6.04377325594231 5.93681266180637 6.16936074488234 5.99867325830987 6.07498606866206 6.04258591549727 5.84819789830387 6.00609634789123 6.20522178824896 6.16563631014873 6.08694202476793 6.15085771240926
"DGKB" 4.7514072182675 4.65781545521649 4.89323345432459 4.59993430682975 4.84907924709359 4.63650162873764 4.81244308619839 4.63048416415425 4.681175889845 5.20639507077525 4.44202843703426 4.89160076962332
"ITGB1" 8.85746058156906 8.89197717918913 8.71780557567945 8.78747104805276 8.20235128917485 8.46374543511807 8.37665121817856 8.5256884056476 8.25568380964895 8.30948973794042 8.74849984222672 8.38614439878232
"PIANP" 5.58256424409374 5.71719911439985 5.89734486339156 5.56788490354411 5.71227361426845 5.71020527085744 5.58792389113641 5.75729990687686 5.92280335526026 5.97753253670375 5.89009468191163 5.84145556218234
"EFNA2" 4.72342420132279 4.85483489595235 4.83844177006765 4.9922433946934 4.89371543321866 4.72094711618917 5.00494274894418 4.91501084314458 4.71138919875728 4.71772891882899 5.00841513229723 4.89414700089891
