"JURKAT" "IM9" "RAJI" "THP1" "Median sample"
"CSMD1" 4.55599649131054 4.67053639772723 4.73945736922304 4.69491790408747 4.53823968242112
"SALL3" 4.51245267117685 4.21673634364597 4.47318903726555 4.5896611689841 4.52906398377994
"TMEM145" 4.98772643929013 5.04669875741125 4.75491831952384 4.93407637532817 4.94626287520368
"GJD3" 6.0534993458057 5.76970952638263 5.85010178103133 6.15796036672999 6.02122325712609
"DGKB" 4.81709509446872 4.70846292790255 4.78784932512767 4.83836844737805 4.71629155405625
"ITGB1" 8.42560691043556 7.69062359173932 8.68063264593914 8.93390756487967 8.58206113311566
"PIANP" 5.63946494978785 5.62757176551288 5.68038222706732 5.75972481141487 5.58524406761508
"EFNA2" 4.79713048370489 4.86478934198853 4.9522496243753 4.88888275365466 4.85783379800809
"PDZK1IP1" 4.66153011727422 4.82913844907173 5.04942241832164 4.8038287098312 4.8130478033733
"KLHL35" 8.97522562505701 5.80781967049953 5.79047384671662 6.45615782905121 6.24004927934751
"PRF1" 6.60095111531025 6.44184142034008 6.04453888207611 6.08882078266495 6.25760202804317
"B4GALNT3" 6.22690744879703 6.35331181247083 6.48307929407344 6.16493587073004 6.39502463306279
"IRAK2" 4.19317703302922 3.79624492639348 3.66876303145858 3.97029132065962 3.82852626343968
"FAM76B" 6.04812834193048 5.74439225301377 6.05128441220533 5.81366907481614 5.95147423666472
"AJUBA" 7.06489204639601 6.08648449776317 4.64823899898163 5.25780872770537 5.52314441857548
"WBSCR27" 5.97955608717279 5.99315681695897 6.00593825693691 6.00710529144393 6.05384265192856
"RASGEF1B" 4.42213735411473 4.37348930886115 4.48992731609494 4.34974292642736 4.4690328144452
"C11orf45" 4.92718096309298 4.61337162970477 4.34974292642736 5.88037710112228 5.28963073021165
"APOBEC3D" 5.28005860764368 5.40813024652857 5.40455718054498 5.32185007132106 5.26490876419251
"WDFY4" 4.93922820746176 5.54678381793931 5.91714963797903 5.57696449589725 5.62240136479215
"FGD2" 8.93500082280735 9.23300382915077 10.1777951266989 9.59786236179936 9.68341716927016
"GATS" 6.96805085155809 6.38201178216512 6.35089171282081 6.49281112571243 6.56129464666951
"CBS" 8.6016768082606 9.88940012032848 9.93941625671731 9.44359048717761 9.54800778667963
"NT5E" 3.88318222712091 5.03084297886942 3.77331366027579 3.97734818820848 4.13173650121611
"OSMR" 4.97127028764202 4.63007955837185 4.57660625758441 4.64497642096915 4.85242221916867
"GPNMB" 3.00493610061364 3.13017587488468 3.10208331863029 3.38304752359958 3.16350277575555
"MVB12B" 6.01787004128628 6.10404876038017 6.09643483202001 6.12470931629415 6.0854119359683
"TMEM136" 6.74506627456322 6.83505070910176 6.05647586221456 6.58992130308058 6.64693040102308
"SPIN3" 3.1401885837929 3.21913972633152 3.19259504526693 3.2263784950664 3.25746615959869
